,Class balance,Train size,Model,Implementation,Threshold,Run,AUROC,AUCPR
93,0.1,6400,4,user-defined,2,1,0.7975,0.8099
94,0.1,6400,4,user-defined,3,1,0.79785,0.80877
95,0.1,6400,4,sklearn,-,1,0.79782,0.80905
96,0.1,12800,1,user-defined,1,1,0.79569,0.81229
97,0.1,12800,1,user-defined,2,1,0.79802,0.81041
98,0.1,12800,1,user-defined,3,1,0.79911,0.81161
99,0.1,12800,1,sklearn,-,1,0.79915,0.81123
100,0.1,12800,2,user-defined,1,1,0.63165,0.6542
101,0.1,12800,2,user-defined,2,1,0.63165,0.6542
102,0.1,12800,2,user-defined,3,1,0.63165,0.6542
103,0.1,12800,2,sklearn,-,1,0.63164,0.74857
104,0.1,12800,3,user-defined,1,1,0.6443,0.6621
105,0.1,12800,3,user-defined,2,1,0.6443,0.6621
106,0.1,12800,3,user-defined,3,1,0.6443,0.6621
107,0.1,12800,3,sklearn,-,1,0.64427,0.75621
108,0.1,12800,4,user-defined,1,1,0.79521,0.8125
109,0.1,12800,4,user-defined,2,1,0.79852,0.81321
110,0.1,12800,4,user-defined,3,1,0.79914,0.81325
111,0.1,12800,4,sklearn,-,1,0.79915,0.8128
112,0.2,200,1,user-defined,1,1,0.79156,0.81568
113,0.2,200,1,user-defined,2,1,0.79338,0.81733
114,0.2,200,1,user-defined,3,1,0.79434,0.8181
115,0.2,200,1,sklearn,-,1,0.79441,0.8182
116,0.2,200,2,user-defined,1,1,0.64685,0.6837
117,0.2,200,2,user-defined,2,1,0.64685,0.6837
118,0.2,200,2,user-defined,3,1,0.64685,0.6837
119,0.2,200,2,sklearn,-,1,0.64683,0.76961
120,0.2,200,3,user-defined,1,1,0.63045,0.6472
121,0.2,200,3,user-defined,2,1,0.63045,0.6472
122,0.2,200,3,user-defined,3,1,0.63045,0.6472
123,0.2,200,3,sklearn,-,1,0.63048,0.75281
124,0.2,200,4,user-defined,1,1,0.75655,0.77756
125,0.2,200,4,user-defined,2,1,0.75891,0.77677
126,0.2,200,4,user-defined,3,1,0.75884,0.7748
127,0.2,200,4,sklearn,-,1,0.75912,0.7717
128,0.2,400,1,user-defined,1,1,0.78927,0.81342
129,0.2,400,1,user-defined,2,1,0.79196,0.8122
130,0.2,400,1,user-defined,3,1,0.79375,0.81282
131,0.2,400,1,sklearn,-,1,0.79378,0.81303
132,0.2,400,2,user-defined,1,1,0.62275,0.6781
133,0.2,400,2,user-defined,2,1,0.62275,0.6781
134,0.2,400,2,user-defined,3,1,0.62275,0.6781
135,0.2,400,2,sklearn,-,1,0.62274,0.75919
136,0.2,400,3,user-defined,1,1,0.6169,0.67645
137,0.2,400,3,user-defined,2,1,0.6169,0.67645
138,0.2,400,3,user-defined,3,1,0.6169,0.67645
139,0.2,400,3,sklearn,-,1,0.61688,0.75674
140,0.2,400,4,user-defined,1,1,0.7784,0.81817
141,0.2,400,4,user-defined,2,1,0.78018,0.80103
142,0.2,400,4,user-defined,3,1,0.78128,0.79388
143,0.2,400,4,sklearn,-,1,0.78158,0.79384
144,0.2,800,1,user-defined,1,1,0.79321,0.81785
145,0.2,800,1,user-defined,2,1,0.79571,0.81692
146,0.2,800,1,user-defined,3,1,0.79673,0.81747
147,0.2,800,1,sklearn,-,1,0.79673,0.81712
148,0.2,800,2,user-defined,1,1,0.6297,0.66025
149,0.2,800,2,user-defined,2,1,0.6297,0.66025
150,0.2,800,2,user-defined,3,1,0.6297,0.66025
151,0.2,800,2,sklearn,-,1,0.62969,0.75607
152,0.2,800,3,user-defined,1,1,0.62635,0.66415
153,0.2,800,3,user-defined,2,1,0.62635,0.66415
154,0.2,800,3,user-defined,3,1,0.62635,0.66415
155,0.2,800,3,sklearn,-,1,0.62633,0.75593
156,0.2,800,4,user-defined,1,1,0.78582,0.80048
157,0.2,800,4,user-defined,2,1,0.78921,0.80351
158,0.2,800,4,user-defined,3,1,0.79115,0.80826
159,0.2,800,4,sklearn,-,1,0.79121,0.80873
160,0.2,1600,1,user-defined,1,1,0.7941,0.82073
161,0.2,1600,1,user-defined,2,1,0.79658,0.81863
162,0.2,1600,1,user-defined,3,1,0.79712,0.8183
163,0.2,1600,1,sklearn,-,1,0.79701,0.81804
164,0.2,1600,2,user-defined,1,1,0.6303,0.6592
165,0.2,1600,2,user-defined,2,1,0.6303,0.6592
166,0.2,1600,2,user-defined,3,1,0.6303,0.6592
167,0.2,1600,2,sklearn,-,1,0.63031,0.75602
168,0.2,1600,3,user-defined,1,1,0.6241,0.6589
169,0.2,1600,3,user-defined,2,1,0.6241,0.6589
170,0.2,1600,3,user-defined,3,1,0.6241,0.6589
171,0.2,1600,3,sklearn,-,1,0.62411,0.75348
172,0.2,1600,4,user-defined,1,1,0.79393,0.81763
173,0.2,1600,4,user-defined,2,1,0.7954,0.81446
174,0.2,1600,4,user-defined,3,1,0.79639,0.81461
175,0.2,1600,4,sklearn,-,1,0.79633,0.81444
176,0.2,3200,1,user-defined,1,1,0.79319,0.81833
177,0.2,3200,1,user-defined,2,1,0.79638,0.81975
178,0.2,3200,1,user-defined,3,1,0.79668,0.8185
179,0.2,3200,1,sklearn,-,1,0.79675,0.81879
180,0.2,3200,2,user-defined,1,1,0.6289,0.6625
181,0.2,3200,2,user-defined,2,1,0.6289,0.6625
182,0.2,3200,2,user-defined,3,1,0.6289,0.6625
183,0.2,3200,2,sklearn,-,1,0.62894,0.75644
184,0.2,3200,3,user-defined,1,1,0.6207,0.65165
185,0.2,3200,3,user-defined,2,1,0.6207,0.65165
186,0.2,3200,3,user-defined,3,1,0.6207,0.65165
187,0.2,3200,3,sklearn,-,1,0.6207,0.74996
188,0.2,3200,4,user-defined,1,1,0.79039,0.81494
189,0.2,3200,4,user-defined,2,1,0.79354,0.8128
190,0.2,3200,4,user-defined,3,1,0.79517,0.81418
191,0.2,3200,4,sklearn,-,1,0.79527,0.81364
192,0.2,6400,1,user-defined,1,1,0.79346,0.8201
193,0.2,6400,1,user-defined,2,1,0.79615,0.81799
194,0.2,6400,1,user-defined,3,1,0.79699,0.81774
195,0.2,6400,1,sklearn,-,1,0.79699,0.81784
196,0.2,6400,2,user-defined,1,1,0.62865,0.6618
197,0.2,6400,2,user-defined,2,1,0.62865,0.6618
198,0.2,6400,2,user-defined,3,1,0.62865,0.6618
199,0.2,6400,2,sklearn,-,1,0.62865,0.75611
200,0.2,6400,3,user-defined,1,1,0.6402,0.6728
201,0.2,6400,3,user-defined,2,1,0.6402,0.6728
202,0.2,6400,3,user-defined,3,1,0.6402,0.6728
203,0.2,6400,3,sklearn,-,1,0.64024,0.76391
204,0.2,6400,4,user-defined,1,1,0.79134,0.81656
